Description,Amount,Date
Invoice Google #8472,97.03,2024-03-05
ACH Transfer BestBuy #1873,1784.59,2024-01-28
Invoice Shell #9482,560.72,2024-03-24
Transfer Apple #5802,1152.3,2024-03-19
Refund BestBuy #3219,1325.82,2024-01-09
Deposit Walmart #6804,376.44,2024-01-17
Transfer Uber #9133,1686.05,2024-01-02
Invoice Amazon #8706,139.67,2024-03-09
Transfer Starbucks #8457,796.03,2024-03-29
Refund Walmart #6071,507.31,2024-02-13
Invoice Amazon #8934,36.91,2024-02-05
Invoice Costco #2794,16.28,2024-02-24
Payment Netflix #2617,1320.75,2024-01-28
Transfer Costco #3585,1636.12,2024-01-15
ACH Transfer BestBuy #6852,1932.27,2024-03-03
Transfer Starbucks #7368,121.74,2024-03-19
Payment Google #3273,1743.54,2024-01-16
ACH Transfer Amazon #2605,951.25,2024-02-21
Invoice Apple #4462,1678.73,2024-01-31
ACH Transfer Costco #2897,1149.24,2024-01-25
Withdrawal Google #1626,89.59,2024-02-13
ACH Transfer Costco #8550,865.2,2024-02-19
ACH Transfer Google #8682,133.08,2024-01-20
Deposit Uber #4471,1997.63,2024-03-24
Invoice BestBuy #9187,1637.16,2024-03-16
Invoice Uber #3647,1511.13,2024-03-26
Invoice Amazon #3498,282.8,2024-02-25
Payment Apple #4447,839.19,2024-02-26
Deposit Apple #6714,414.5,2024-03-03
Withdrawal Google #1564,284.51,2024-03-09
Deposit Uber #4356,494.57,2024-02-09
ACH Transfer Google #7676,380.12,2024-03-30
ACH Transfer Netflix #5186,1544.61,2024-03-22
Deposit Netflix #7877,711.33,2024-02-04
Invoice Uber #3877,310.84,2024-02-25
ACH Transfer Shell #2325,1851.66,2024-03-05
Invoice Amazon #2832,1982.04,2024-02-14
Transfer Netflix #8479,953.99,2024-02-09
Transfer Costco #4140,476.59,2024-01-14
Withdrawal Uber #1724,941.86,2024-03-13
Transfer Shell #2930,991.75,2024-03-25
Invoice Uber #3345,502.53,2024-01-05
Invoice Shell #8324,939.65,2024-02-28
Deposit Walmart #5727,270.0,2024-01-14
Invoice Shell #5759,1615.04,2024-03-15
Transfer BestBuy #1794,1257.26,2024-02-29
Transfer Costco #1284,904.5,2024-01-07
Deposit BestBuy #5222,1362.18,2024-02-03
Payment Apple #9263,574.89,2024-02-25
Transfer Netflix #5028,1945.6,2024-03-25
ACH Transfer BestBuy #4558,890.29,2024-01-07
Transfer Starbucks #4758,1735.14,2024-01-20
ACH Transfer Apple #9356,428.69,2024-02-04
Withdrawal BestBuy #2223,788.66,2024-01-04
ACH Transfer Uber #9885,1392.21,2024-03-06
Invoice Amazon #6164,563.85,2024-02-17
Deposit Walmart #3045,836.97,2024-01-30
Withdrawal BestBuy #9046,1614.52,2024-03-01
Transfer Costco #6846,606.53,2024-01-18
Deposit Costco #4546,1435.96,2024-01-11
Refund Google #5386,1013.3,2024-01-21
Refund BestBuy #1249,1510.32,2024-02-15
ACH Transfer Netflix #5929,1218.72,2024-03-04
ACH Transfer Costco #8090,1083.32,2024-02-12
Withdrawal Walmart #2490,286.85,2024-02-27
Refund Apple #8001,170.68,2024-01-04
ACH Transfer Amazon #9996,1275.07,2024-02-26
ACH Transfer Apple #4826,1110.85,2024-02-29
Invoice Netflix #9948,1073.71,2024-03-18
Invoice Shell #3370,1529.52,2024-02-21
Invoice Walmart #4910,1026.41,2024-03-23
Invoice Uber #7925,1296.1,2024-02-24
Refund Shell #6778,1135.68,2024-02-11
Withdrawal Walmart #1853,657.04,2024-03-30
ACH Transfer Google #2973,1471.42,2024-02-27
Invoice Starbucks #1447,995.8,2024-03-03
Invoice Google #3972,1846.2,2024-03-25
Transfer Shell #7657,223.71,2024-03-16
Payment Google #2600,304.48,2024-01-29
Deposit Amazon #5167,1121.1,2024-01-19
Transfer Uber #9387,510.57,2024-02-13
